Wall time,Step,Value
1541141975.466594,5,0.5224970579147339
1541141983.742885,6,0.4765501618385315
1541142010.1881897,10,0.4650930166244507
1541142015.9280412,11,0.4484964907169342
1541142030.8233285,13,0.43409234285354614
1541142039.0829751,14,0.42765650153160095
1541142044.7576501,15,0.4377879202365875
1541142067.5863907,18,0.4144519567489624
1541142075.7694101,19,0.4087851047515869
1541142083.9233127,20,0.40197983384132385
1541142109.8726153,24,0.4036749303340912
1541142170.7226968,33,0.39269521832466125
1541142176.382474,34,0.3845287263393402
1541142187.6767294,36,0.3809870481491089
1541142210.33436,40,0.3776332437992096
1541142221.8138921,42,0.3794178068637848
1541142233.2197168,44,0.4101679027080536
1541142238.8734806,45,0.39978447556495667
1541142252.876256,47,0.3605113625526428
1541142264.5008047,49,0.37668576836586
1541142270.1614769,50,0.37560778856277466
1541142287.20028,53,0.38482293486595154
1541142292.8761053,54,0.37869128584861755
1541142298.5553932,55,0.3625129163265228
1541142304.2125094,56,0.3721570074558258
1541142309.9022288,57,0.3784688413143158
1541142326.9217632,60,0.3645850419998169
1541142332.7150555,61,0.38021281361579895
1541142344.208175,63,0.3760415017604828
1541142355.5196939,65,0.37718465924263
1541142361.1751456,66,0.3749016225337982
1541142369.3309991,67,0.3581753075122833
1541142374.983483,68,0.3803241550922394
1541142394.4404595,71,0.3733665347099304
1541142400.1257374,72,0.36424458026885986
1541142405.7751846,73,0.3721924424171448
1541142411.4437509,74,0.3568449914455414
1541142425.3796015,76,0.34988340735435486
1541142442.3685336,79,0.36954817175865173
1541142471.1539369,84,0.36972206830978394
1541142476.9080648,85,0.36372238397598267
1541142482.7765892,86,0.37044665217399597
1541142488.441545,87,0.3661257028579712
1541142494.1362674,88,0.36416810750961304
1541142499.799013,89,0.3743271231651306
1541142528.1085255,94,0.3608418405056
1541142573.4463756,102,0.3513987958431244
1541142590.5792193,105,0.3691370189189911
1541142596.2451737,106,0.36860132217407227
1541142638.3924656,113,0.3800079822540283
1541142657.836592,116,0.35951194167137146
1541142669.1428022,118,0.35018783807754517
1541142674.8154235,119,0.3763585090637207
1541142680.478261,120,0.3501793146133423
1541142703.1285377,124,0.3593611717224121
1541142708.7934613,125,0.3548268973827362
1541142714.5761592,126,0.36105626821517944
1541142731.614967,129,0.3548218309879303
1541142737.2801273,130,0.36801841855049133
1541142754.2359152,133,0.3408755362033844
1541142776.9186366,137,0.348626047372818
1541142788.2328267,139,0.3406336307525635
1541142799.587143,141,0.3563149869441986
1541142805.2497232,142,0.35475367307662964
1541142810.908771,143,0.33964553475379944
1541142816.561163,144,0.36882317066192627
1541142839.383307,148,0.3583325743675232
1541142850.753302,150,0.34709686040878296
1541142867.7196858,153,0.34944939613342285
