Wall time,Step,Value
1541467508.458928,5,0.6764594316482544
1541467514.4735925,6,0.6772859692573547
1541467538.6175265,10,0.6921895146369934
1541467544.6701026,11,0.6912751197814941
1541467556.9079719,13,0.6901765465736389
1541467562.8771217,14,0.6890685558319092
1541467568.8945584,15,0.6854265928268433
1541467581.0941794,17,0.6864587068557739
1541467587.217623,18,0.6831143498420715
1541467596.1086564,19,0.6727402806282043
1541467602.2213647,20,0.6763628125190735
1541467639.7529304,24,0.641838014125824
1541467710.4120803,33,0.4697110652923584
1541467719.0378034,34,0.4219035506248474
1541467738.7476363,36,0.4005095362663269
1541467757.0229268,39,0.4367685914039612
1541467763.1145425,40,0.4094804525375366
1541467778.1334124,42,0.3889671266078949
1541467792.9536798,44,0.3931836783885956
1541467801.9009871,45,0.38466718792915344
1541467816.6843631,47,0.36226457357406616
1541467828.5740569,49,0.36831897497177124
1541467834.5016546,50,0.3676450252532959
1541467852.3259742,53,0.375224769115448
1541467858.2723858,54,0.367201566696167
1541467866.8661153,55,0.34851014614105225
1541467872.8062294,56,0.35705703496932983
1541467878.7368112,57,0.36233243346214294
1541467899.0881598,60,0.3419328033924103
1541467905.0190084,61,0.3568379282951355
1541467917.0594068,63,0.3563440442085266
1541467928.9408588,65,0.35087621212005615
1541467934.8763216,66,0.35000845789909363
1541467943.3178551,67,0.33313503861427307
1541467949.24318,68,0.35464319586753845
1541467969.660977,71,0.34853729605674744
1541467975.5894434,72,0.3394426107406616
1541467981.5406091,73,0.3433048129081726
1541467987.4944615,74,0.3304082751274109
1541468001.942925,76,0.3197431266307831
1541468019.7845182,79,0.3349648118019104
1541468049.6343143,84,0.3331495225429535
1541468055.582576,85,0.32514557242393494
1541468061.5350275,86,0.32555335760116577
1541468067.4756935,87,0.3312329649925232
1541468073.4200141,88,0.32771188020706177
1541468079.3807209,89,0.33073121309280396
1541468109.211711,94,0.3214825987815857
1541468169.7669659,102,0.30957597494125366
1541468187.7256792,105,0.3120604157447815
1541468193.674951,106,0.3166065216064453
1541468240.5785143,113,0.32808199524879456
1541468260.921753,116,0.30701470375061035
1541468272.8193512,118,0.2982679605484009
1541468278.7602518,119,0.321616530418396
1541468284.7016368,120,0.2972101867198944
1541468310.9143143,124,0.3046949803829193
1541468316.8421266,125,0.3003133535385132
1541468322.8998868,126,0.3027518093585968
1541468340.7462525,129,0.29558172821998596
1541468346.680424,130,0.30212047696113586
1541468367.0495572,133,0.2844178080558777
1541468390.8321314,137,0.33025604486465454
1541468402.6808283,139,0.2963075041770935
1541468414.6188242,141,0.29859626293182373
1541468420.5678582,142,0.2936348617076874
1541468429.0006661,143,0.28158098459243774
1541468434.9144242,144,0.3041442036628723
1541468461.431927,148,0.2928282916545868
1541468476.9003508,150,0.27690955996513367
1541468494.7012706,153,0.28211405873298645
1541468503.6507134,154,0.27543795108795166
1541468509.6349761,155,0.28684714436531067
1541468524.0057082,157,0.2617264986038208
1541468529.9212332,158,0.2851845920085907
1541468535.8987784,159,0.2752101719379425
1541468553.6733344,162,0.2846421003341675
1541468565.5699399,164,0.27854016423225403
1541468571.5060356,165,0.2754400670528412
1541468583.377378,167,0.27009817957878113
1541468589.4187942,168,0.27643415331840515
1541468607.228038,171,0.2669101059436798
1541468636.9102402,176,0.2664475739002228
1541468642.8308845,177,0.2712746262550354
1541468651.2884846,178,0.2611181139945984
1541468663.196812,180,0.268285870552063
1541468669.1101646,181,0.27236974239349365
1541468683.4837365,183,0.2653661072254181
1541468695.3952618,185,0.2655019462108612
1541468701.4302676,186,0.2695522904396057
1541468710.022283,187,0.2566520571708679
1541468716.000387,188,0.265860915184021
1541468728.0030193,190,0.2631804645061493
1541468737.688797,191,0.25500422716140747
1541468782.5971704,198,0.26752519607543945
1541468808.817749,202,0.24923767149448395
1541468832.5262442,206,0.2561085522174835
1541468838.482905,207,0.2514670193195343
1541468844.403482,208,0.2528032064437866
1541468868.256851,212,0.25027695298194885
1541468886.0233808,215,0.2479628175497055
1541468903.8194604,218,0.25676053762435913
1541468909.740191,219,0.249410942196846
1541468927.5471246,222,0.24301615357398987
1541468933.4722965,223,0.26340606808662415
1541468945.3010278,225,0.24074172973632812
1541468951.2203715,226,0.25225889682769775
1541468957.160165,227,0.240667924284935
1541468968.9998052,229,0.24893757700920105
1541468974.9229193,230,0.24607698619365692
1541468986.9266105,232,0.24104376137256622
1541468992.8352642,233,0.24585077166557312
1541468998.7690024,234,0.24691887199878693
1541469019.0570228,237,0.23787149786949158
1541469039.8558705,240,0.23530253767967224
1541469072.104651,245,0.22089071571826935
1541469083.976921,247,0.23826007544994354
1541469095.8493273,249,0.2462284415960312
1541469101.779038,250,0.23198272287845612
1541469131.5783887,255,0.22853590548038483
1541469149.3636923,258,0.23506879806518555
1541469155.2946556,259,0.2326693832874298
1541469161.2021763,260,0.23198679089546204
1541469167.1441147,261,0.23487114906311035
1541469178.9714804,263,0.22796683013439178
1541469202.7167387,267,0.2261839210987091
1541469217.1022148,269,0.2202349454164505
1541469228.9685585,271,0.22476941347122192
1541469240.9552917,273,0.22700388729572296
1541469270.559629,278,0.2254834622144699
1541469284.924231,280,0.2302282303571701
1541469311.1880288,284,0.2335655242204666
1541469344.6197255,289,0.22642673552036285
1541469356.4387264,291,0.2198650985956192
1541469362.348716,292,0.2223474383354187
1541469380.2712905,295,0.21932095289230347
1541469392.0884938,297,0.22326485812664032
1541469398.0048304,298,0.22330856323242188
1541469406.4209433,299,0.21374942362308502
1541469421.4536705,301,0.21704700589179993
1541469427.3743622,302,0.21741795539855957
1541469433.3083076,303,0.22995327413082123
1541469459.469081,307,0.21848315000534058
1541469465.43739,308,0.2191147804260254
1541469477.2595768,310,0.21326413750648499
1541469495.1038759,313,0.21689988672733307
1541469518.8969781,317,0.21683557331562042
1541469527.5099983,318,0.2084220051765442
1541469533.4440303,319,0.213714137673378
1541469541.9963827,320,0.20727476477622986
1541469556.96024,322,0.22527553141117096
1541469577.3050563,325,0.21023669838905334
1541469583.225135,326,0.20847336947917938
1541469589.1918578,327,0.212490975856781
1541469606.953683,330,0.21007069945335388
1541469612.8823237,331,0.20466788113117218
1541469624.7685542,333,0.2162942886352539
1541469660.5067265,339,0.209848091006279
1541469672.3604183,341,0.20988690853118896
1541469690.1573427,344,0.20781509578227997
1541469696.0791056,345,0.20302964746952057
1541469710.4441574,347,0.19806011021137238
1541469716.3566375,348,0.2025623619556427
1541469748.4365573,353,0.20348170399665833
1541469754.3445477,354,0.20386403799057007
1541469766.2056777,356,0.2004469484090805
1541469778.1713302,358,0.1983892172574997
1541469784.0912194,359,0.205253466963768
1541469790.006307,360,0.2006847858428955
1541469807.7790458,363,0.2098681926727295
1541469813.6889515,364,0.19816772639751434
1541469834.9350975,367,0.20902952551841736
1541469840.8531885,368,0.1924508810043335
1541469852.7055566,370,0.1993822455406189
1541469858.6691222,371,0.20171131193637848
1541469870.4910367,373,0.1982431858778
1541469894.2308996,377,0.19420292973518372
1541469900.2807944,378,0.19437077641487122
1541469906.2040992,379,0.1909729540348053
1541469918.0782917,381,0.19455517828464508
1541469923.994021,382,0.18999938666820526
1541469941.7629015,385,0.19082528352737427
1541469947.7168767,386,0.19637317955493927
1541469953.6389039,387,0.18826782703399658
1541469959.5561,388,0.19555993378162384
1541469971.4018662,390,0.19224244356155396
1541469977.3746786,391,0.1952347308397293
1541469983.3068986,392,0.18963947892189026
1541469989.238639,393,0.18833404779434204
1541470045.3857992,402,0.1929427981376648
1541470053.8375015,403,0.17761382460594177
1541470065.6866424,405,0.1918257623910904
1541470083.4386477,408,0.19210489094257355
1541470127.38002,415,0.18707968294620514
1541470133.3047857,416,0.18693554401397705
1541470157.1236842,420,0.18191911280155182
1541470163.047193,421,0.18720762431621552
1541470168.94816,422,0.18464083969593048
1541470180.7846344,424,0.17847940325737
1541470192.6558824,426,0.177128404378891
1541470216.3714778,430,0.17888031899929047
1541470275.5181317,439,0.17881646752357483
1541470281.441131,440,0.17846055328845978
1541470287.498927,441,0.1786326766014099
1541470293.418995,442,0.17706704139709473
1541470307.7493732,444,0.1748015433549881
1541470313.6740017,445,0.17707598209381104
1541470334.0188506,448,0.16931118071079254
1541470351.770753,451,0.17028503119945526
1541470395.8943822,458,0.1683710217475891
1541470401.8100965,459,0.16870108246803284
1541470407.728297,460,0.17580489814281464
1541470413.6321905,461,0.17124374210834503
1541470425.6321423,463,0.170293390750885
1541470434.0129259,464,0.16758784651756287
1541470439.9169762,465,0.17853669822216034
1541470451.7461548,467,0.2226407527923584
1541470457.679783,468,0.20295238494873047
1541470463.584227,469,0.17523033916950226
1541470475.428827,471,0.17215608060359955
1541470487.277242,473,0.17177967727184296
1541470495.5941043,474,0.1580938994884491
1541470519.290312,478,0.17375697195529938
1541470560.8098323,485,0.16590945422649384
1541470581.4339063,488,0.1695437878370285
1541470587.353759,489,0.16183550655841827
1541470599.165586,491,0.16622285544872284
1541470611.0189004,493,0.16614700853824615
1541470628.7650204,496,0.1716879904270172
1541470694.005458,507,0.1567460000514984
1541470714.3722613,510,0.15478922426700592
1541470720.2670357,511,0.15949857234954834
1541470726.2031317,512,0.15796126425266266
1541470738.0327225,514,0.16694611310958862
1541470752.424566,516,0.1542433798313141
1541470762.9818983,517,0.15318864583969116
1541470774.8164666,519,0.15352292358875275
1541470804.3916938,524,0.1562221348285675
1541470810.4269888,525,0.15748193860054016
1541470848.4498034,531,0.15198856592178345
1541470860.2658033,533,0.15879283845424652
1541470866.1800067,534,0.1532498598098755
1541470874.6736488,535,0.1505754142999649
1541470880.6032495,536,0.15308856964111328
1541470886.522248,537,0.1616343855857849
1541470892.4278378,538,0.15064027905464172
1541470900.913589,539,0.14477482438087463
1541470906.8862507,540,0.15426495671272278
1541470912.8025177,541,0.15364012122154236
1541470918.7085135,542,0.15515612065792084
1541470930.549731,544,0.15415115654468536
1541470948.4732552,547,0.14815878868103027
1541470954.3945348,548,0.1561710089445114
1541470960.3141873,549,0.1499311774969101
1541470972.1999714,551,0.14953911304473877
1541470995.898315,555,0.14492380619049072
1541471007.734172,557,0.14531077444553375
1541471019.5812593,559,0.15012554824352264
1541471045.9636738,563,0.14422254264354706
1541471051.8879435,564,0.1475016474723816
1541471057.8216884,565,0.15155929327011108
1541471069.7838542,567,0.14738287031650543
1541471085.7160456,569,0.14811934530735016
1541471097.5390978,571,0.14450937509536743
1541471114.227324,573,0.14107799530029297
1541471120.1470423,574,0.14812146127223969
1541471137.8947687,577,0.1484822928905487
1541471149.7460537,579,0.1437883824110031
1541471155.6677964,580,0.14681437611579895
1541471164.3680573,581,0.14094264805316925
1541471170.2952313,582,0.14484257996082306
1541471176.2606702,583,0.1439964473247528
1541471182.1775537,584,0.14307048916816711
1541471196.5223048,586,0.1485036462545395
1541471202.4482992,587,0.14231665432453156
1541471232.20708,592,0.1419593095779419
1541471238.1542919,593,0.14075864851474762
1541471252.469447,595,0.1383856236934662
1541471258.38118,596,0.14571499824523926
1541471266.8792565,597,0.13801421225070953
1541471287.7847362,600,0.13430270552635193
1541471299.6891696,602,0.14483606815338135
1541471311.5188963,604,0.14001981914043427
1541471323.3469133,606,0.13970915973186493
1541471335.199719,608,0.13794401288032532
1541471347.1769242,610,0.1365320086479187
1541471353.1118877,611,0.1362457126379013
1541471359.0728924,612,0.1406121402978897
1541471376.813542,615,0.13756728172302246
1541471405.8319042,619,0.1301194578409195
1541471411.7459364,620,0.13676191866397858
